,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
9879,2016,15975,Automatic,24300,Petrol,235,38.2,1.5
16536,2013,6399,Manual,43441,Diesel,125,57.7,2
11507,2020,22999,Semi-Auto,6897,Diesel,145,58.9,2
2135,2019,21845,Automatic,6322,Petrol,145,29.1,1.5
1621,2017,8750,Manual,25786,Diesel,0,74.3,1.5
10851,2019,14199,Manual,6375,Petrol,145,47.9,1
17481,2016,11300,Manual,29439,Diesel,125,60.1,2
15446,2017,8700,Manual,24360,Diesel,0,78.5,1.5
165,2019,11498,Manual,17708,Petrol,145,58.9,1
579,2017,8998,Manual,20507,Petrol,125,54.3,1.2
8322,2019,16499,Manual,7991,Petrol,150,40.3,1.5
4380,2016,7790,Manual,18859,Petrol,125,54.3,1.2
12118,2016,10770,Manual,34914,Diesel,125,60.1,2
7263,2017,11200,Manual,6840,Petrol,145,65.7,1
11231,2018,12399,Manual,15242,Petrol,145,57.7,1
5926,2014,6591,Manual,80427,Diesel,125,56.5,2
2447,2017,17698,Semi-Auto,7373,Diesel,150,54.3,2
3229,2016,6991,Manual,54039,Diesel,0,88.3,1.5
17369,2011,5495,Manual,77000,Petrol,145,47.9,1.6
4714,2018,10697,Manual,15950,Petrol,145,65.7,1
5012,2018,12795,Manual,13500,Diesel,145,68.9,1.5
6322,2018,15750,Manual,19254,Diesel,150,60.1,2
7686,2019,20000,Manual,3750,Petrol,145,60.1,1
2164,2017,6495,Manual,30092,Petrol,30,57.7,1.2
3653,2014,6750,Manual,40998,Diesel,0,76.4,1.5
14172,2019,17499,Manual,1986,Diesel,145,62.8,2
15310,2016,9689,Manual,31432,Petrol,20,60.1,1
9627,2018,11500,Manual,27185,Petrol,150,65.7,1
324,2015,8498,Manual,6649,Petrol,125,54.3,1.2
9662,2018,15000,Manual,10541,Petrol,150,54.3,1
13681,2018,12995,Manual,26145,Petrol,145,62.8,1
12551,2018,11950,Manual,10041,Petrol,145,60.1,1
6600,2014,6700,Manual,24240,Petrol,30,54.3,1.2
17210,2019,17494,Manual,5000,Petrol,145,51.4,1
10319,2019,15420,Manual,5447,Petrol,145,60.1,1
5534,2015,7771,Manual,45750,Petrol,125,53.3,1
11846,2017,10500,Semi-Auto,16767,Petrol,30,57.7,1
166,2019,13998,Manual,9957,Petrol,145,58.9,1
7788,2019,11930,Manual,4092,Petrol,145,58.9,1
11118,2018,18890,Manual,18670,Petrol,145,39.2,1.5
10277,2018,13491,Semi-Auto,3531,Petrol,145,48.7,1
3539,2018,15998,Manual,32077,Diesel,145,56.5,2
1505,2017,14698,Automatic,24799,Petrol,240,38.2,1.5
2974,2017,13000,Manual,22997,Petrol,145,51.4,1.5
17044,2017,6795,Manual,65290,Diesel,0,88.3,1.5
4456,2018,10999,Manual,12528,Petrol,145,61.4,1
16751,2018,11999,Manual,13678,Petrol,145,57.7,1
4577,2017,8498,Manual,5215,Petrol,125,54.3,1.2
2587,2016,8667,Manual,47832,Diesel,0,74.3,1.5
13773,2018,10995,Manual,10198,Petrol,150,65.7,1
15491,2017,16500,Manual,29072,Diesel,125,60.1,2
16834,2012,7000,Manual,46849,Diesel,20,67.3,1.6
16206,2017,15750,Manual,43499,Diesel,20,67.3,2
8476,2019,11995,Manual,11882,Petrol,145,58.9,1
11390,2019,18399,Manual,12403,Petrol,145,35.3,1.5
5213,2013,6250,Manual,52328,Petrol,30,56.5,1
12915,2019,14999,Manual,7289,Petrol,145,60.1,1
8335,2017,12999,Manual,32624,Petrol,145,47.9,1.6
9226,2016,8440,Manual,53530,Diesel,0,74.3,1.5
10357,2020,15491,Manual,251,Petrol,145,51.4,1
9191,2018,14500,Manual,18771,Diesel,150,74.3,1.5
15267,2017,10200,Manual,43234,Diesel,0,74.3,1.5
1499,2018,11750,Manual,13278,Petrol,145,62.8,1
17552,2016,10900,Manual,23138,Petrol,145,47.9,1.6
13384,2017,7290,Manual,44325,Petrol,125,54.3,1.2
2073,2014,5495,Manual,55259,Petrol,30,54.3,1.2
1745,2019,15298,Automatic,13312,Petrol,145,50.4,1
13288,2016,9850,Manual,10998,Petrol,0,65.7,1
10411,2019,22490,Semi-Auto,10598,Diesel,150,42.2,2
15354,2014,7800,Manual,40857,Diesel,125,57.7,2
12159,2018,10370,Manual,34292,Petrol,150,65.7,1
2491,2016,9699,Manual,23149,Petrol,20,62.8,1
10045,2018,13795,Manual,4430,Petrol,145,62.8,1
14115,2018,8490,Manual,17000,Petrol,145,65.7,1
13360,2017,17750,Semi-Auto,20257,Diesel,125,52.3,2
14469,2016,8995,Manual,79265,Diesel,30,64.2,2
4886,2017,9990,Manual,38081,Petrol,145,65.7,1
8060,2018,18600,Manual,12947,Diesel,145,60.1,2
13684,2012,7891,Manual,11000,Petrol,160,42.8,1.2
17719,2015,9000,Manual,27183,Petrol,125,53.3,1
5903,2017,9991,Manual,22025,Petrol,145,65.7,1
10600,2017,16000,Automatic,21467,Petrol,145,38.2,1.5
13400,2019,14500,Semi-Auto,15325,Petrol,145,54.3,1
3218,2018,19427,Manual,21863,Petrol,145,41.5,2
5640,2018,13690,Manual,16286,Diesel,150,80.7,1.5
7897,2015,7150,Manual,37388,Petrol,0,65.7,1
10818,2019,19499,Manual,15956,Diesel,145,47.9,2
10364,2018,10699,Manual,32895,Petrol,150,65.7,1
1530,2017,11200,Manual,12380,Petrol,145,65.7,1
6204,2016,13999,Manual,33608,Diesel,125,60.1,2
9489,2019,19900,Automatic,942,Petrol,145,51.4,1
5666,2018,16500,Semi-Auto,33184,Diesel,145,54.3,2
1486,2016,11588,Manual,20709,Diesel,0,78.5,1.5
4317,2013,6100,Manual,48659,Petrol,20,58.9,1
5862,2019,15700,Manual,4194,Petrol,145,51.4,1
17863,2018,16000,Semi-Auto,15255,Diesel,145,54.3,2
7149,2018,13695,Manual,16513,Petrol,145,57.7,1
16916,2015,10995,Manual,41347,Diesel,145,54.3,2
1501,2019,15500,Manual,5248,Petrol,145,56.5,1
4664,2014,6897,Manual,27361,Petrol,0,65.7,1
11096,2017,7278,Manual,23000,Petrol,150,57.7,1.2
14278,2017,11999,Manual,18153,Petrol,145,51.4,1.5
7213,2017,8498,Manual,25366,Petrol,0,65.7,1
14674,2016,8899,Manual,49470,Diesel,0,74.3,1.5
5150,2017,8721,Manual,25152,Petrol,125,52.3,1
12080,2020,20790,Manual,22,Petrol,145,53.3,1
510,2019,29999,Manual,100,Diesel,145,30.1,2
15534,2017,22000,Automatic,17515,Diesel,145,47.9,2
2110,2018,7300,Manual,21662,Petrol,145,57.7,1.2
12979,2019,16500,Manual,9066,Petrol,145,58.9,1
13953,2017,10000,Manual,15217,Petrol,0,65.7,1
11048,2016,8974,Manual,33000,Petrol,0,65.7,1
7269,2015,8462,Manual,45549,Petrol,20,60.1,1
8174,2018,8995,Manual,20120,Petrol,145,64.2,1.1
17722,2017,9500,Manual,12801,Petrol,0,65.7,1
7928,2017,17291,Manual,17573,Petrol,145,41.5,2
16380,2009,5975,Manual,80000,Diesel,200,46.3,2
13743,2019,17990,Automatic,7295,Petrol,145,48.7,1
7333,2017,13999,Manual,29673,Diesel,30,64.2,1.5
4278,2017,15998,Automatic,6051,Diesel,145,56.6,1.5
3978,2018,9997,Manual,15464,Petrol,145,64.2,1.1
11533,2018,12899,Manual,14877,Diesel,145,68.9,1.5
4608,2018,16297,Manual,9500,Petrol,145,45.6,1.5
8537,2017,10230,Manual,28158,Petrol,20,62.8,1
16870,2014,5795,Automatic,98000,Diesel,145,50.4,2
461,2017,14498,Manual,6038,Diesel,150,54.3,2
11431,2019,13350,Manual,423,Petrol,145,43.5,1.2
11092,2016,9481,Manual,27000,Petrol,125,53.3,1
6518,2017,20450,Semi-Auto,34399,Diesel,160,48.7,2
2204,2019,17990,Manual,880,Diesel,150,38.2,2
8280,2014,6999,Manual,43738,Petrol,30,55.4,1
5551,2014,6120,Manual,42621,Petrol,145,47.1,1.4
15612,2017,18400,Manual,29965,Diesel,145,54.3,2
3341,2017,8755,Manual,30791,Petrol,145,64.2,1.1
13334,2019,15000,Manual,4500,Petrol,145,53.3,1
16835,2015,9300,Manual,20907,Petrol,20,60.1,1
5447,2019,18020,Automatic,4084,Diesel,145,53.3,1.5
4493,2018,10450,Manual,21919,Petrol,145,65.7,1
9370,2017,8990,Manual,5590,Petrol,145,54.3,1.2
2514,2017,9998,Manual,46011,Diesel,0,74.3,1.5
16452,2019,17999,Automatic,4147,Diesel,145,64.2,2
3689,2018,9700,Manual,10326,Petrol,145,64.2,1.1
9227,2019,16107,Automatic,2750,Petrol,150,51.4,1
15609,2018,11700,Manual,33913,Petrol,145,65.7,1
3215,2019,15510,Manual,4198,Petrol,145,60.1,1
14733,2019,13399,Manual,9829,Diesel,150,58.9,1.5
10951,2017,13099,Manual,12022,Petrol,145,62.8,1
17638,2015,7999,Manual,36384,Petrol,125,53.3,1
