,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
4910,2014,8300,Manual,23777,Petrol,0,65.7,1
9762,2018,12890,Manual,12100,Diesel,145,58.9,1.5
14265,2017,9999,Automatic,39198,Diesel,145,74.3,1.5
16143,2017,8450,Manual,62833,Diesel,30,64.2,1.5
3480,2013,6350,Manual,36289,Petrol,0,65.7,1
4418,2020,19991,Manual,2475,Petrol,145,50.4,1
3621,2015,8470,Manual,73991,Diesel,30,65.7,2
5516,2018,9520,Manual,8966,Petrol,145,64.2,1.1
3005,2018,10300,Manual,26995,Petrol,145,64.2,1.1
7919,2015,7995,Manual,36015,Petrol,0,65.7,1
10920,2019,11799,Manual,4126,Petrol,145,58.9,1
11791,2019,16599,Automatic,12238,Petrol,145,48.7,1
12474,2018,11990,Manual,20312,Petrol,145,57.7,1
12653,2019,16000,Manual,7071,Petrol,150,60.1,1
8027,2019,17995,Manual,11485,Diesel,150,74.3,1.5
15482,2016,8700,Manual,19928,Petrol,125,54.3,1.2
2373,2019,17498,Automatic,13743,Petrol,150,51.4,1
16929,2016,12000,Automatic,18323,Petrol,0,57.7,1
10714,2018,13995,Manual,7000,Petrol,145,58.9,1
11971,2018,11700,Manual,11552,Petrol,145,65.7,1
15001,2019,13799,Manual,7463,Petrol,145,53.3,1
9462,2016,10328,Semi-Auto,25650,Diesel,125,58.9,2
2113,2016,9500,Semi-Auto,52126,Diesel,30,58.9,1.5
3818,2018,11690,Manual,11483,Petrol,145,65.7,1
8266,2018,20499,Manual,4391,Petrol,145,41.5,2
2608,2019,23780,Manual,12500,Diesel,145,55.4,2
17469,2009,2790,Manual,114000,Petrol,300,35.8,2
5956,2019,17295,Manual,4870,Petrol,150,58.9,1
819,2019,25498,Manual,4813,Petrol,145,34.5,2.3
7834,2019,14594,Manual,18638,Diesel,145,80.7,1.5
3371,2018,10291,Manual,9250,Petrol,150,65.7,1
15220,2019,15489,Manual,3916,Petrol,145,48.7,1
16670,2005,1295,Manual,119000,Petrol,165,45.6,1.2
14854,2015,8299,Manual,45500,Diesel,0,78.5,1.5
8707,2018,11500,Manual,13820,Petrol,145,65.7,1
8760,2018,15299,Automatic,12315,Petrol,145,50.4,1
15758,2013,6489,Manual,47157,Petrol,30,54.3,1.2
10496,2018,9995,Manual,6500,Petrol,145,64.2,1.1
8455,2015,7000,Manual,37650,Petrol,0,65.7,1
17631,2016,13750,Manual,35487,Diesel,125,56.5,2
14967,2017,10500,Manual,11518,Petrol,145,52.3,1
12043,2017,20200,Automatic,8973,Petrol,145,38.2,1.5
5861,2017,10000,Manual,29888,Diesel,145,74.3,1.5
5293,2019,12090,Manual,4762,Petrol,145,57.7,1
10870,2018,13999,Manual,8610,Petrol,145,54.3,1
7807,2018,26000,Semi-Auto,4150,Diesel,145,54.3,2
6754,2017,11498,Manual,10415,Petrol,20,62.8,1
1450,2017,12591,Manual,32590,Diesel,30,64.2,1.5
10743,2019,15995,Manual,12200,Petrol,145,58.9,1
5702,2018,15498,Semi-Auto,9347,Petrol,150,48.7,1
9716,2017,11000,Manual,23160,Petrol,145,62.8,1
15226,2016,9800,Manual,44162,Diesel,20,70.6,2
14468,2016,8695,Manual,69778,Diesel,0,74.3,1.5
6939,2014,6330,Manual,50410,Diesel,20,70.6,1.6
16214,2018,20750,Manual,17003,Diesel,145,56.5,2
8205,2019,15298,Automatic,10493,Petrol,145,48.7,1
13452,2019,25000,Manual,9544,Diesel,145,54.3,2
9033,2016,9750,Manual,39236,Petrol,20,60.1,1
3656,2017,10000,Manual,24205,Petrol,145,65.7,1
16352,2013,5999,Manual,62021,Diesel,20,67.3,1.6
6995,2016,10300,Manual,14801,Petrol,125,53.3,1
13470,2012,5295,Manual,32000,Petrol,125,51.4,1.2
6226,2016,18091,Semi-Auto,44224,Diesel,160,48.7,2
6252,2014,9495,Manual,21259,Petrol,0,65.7,1
13030,2019,15595,Manual,2525,Petrol,145,58.9,1
15535,2019,14000,Manual,9427,Petrol,145,55.4,1
640,2015,9230,Manual,27412,Diesel,0,74.3,1.5
11266,2017,11399,Manual,17980,Petrol,145,60.1,1
4884,2017,14000,Manual,16155,Diesel,145,64.2,1.5
13252,2017,11950,Manual,14977,Petrol,20,61.4,1
8264,2017,12699,Manual,25082,Petrol,145,47.9,1.6
5405,2017,10291,Manual,27107,Petrol,145,65.7,1
1058,2015,6999,Manual,27425,Petrol,125,54.3,1.2
8575,2015,8725,Manual,73506,Diesel,125,60.1,2
9727,2019,20500,Automatic,953,Diesel,145,64.2,2
8787,2019,16470,Manual,9083,Petrol,145,60.1,1
4558,2015,7390,Manual,17499,Diesel,0,78.5,1.5
17523,2017,10500,Manual,9960,Diesel,150,64.2,1.5
14161,2018,14525,Automatic,9534,Petrol,145,48.7,1
3272,2018,10731,Manual,4026,Petrol,145,65.7,1
3162,2019,14642,Manual,4442,Petrol,145,58.9,1
7042,2016,10350,Manual,67943,Diesel,20,68.9,2
16408,2015,8275,Manual,35000,Petrol,20,62.8,1
1985,2019,12995,Manual,7,Petrol,145,55.4,1.1
13918,2015,9175,Automatic,17180,Petrol,160,44.8,1.6
14209,2019,18917,Manual,7968,Petrol,145,40.3,1.5
17597,2017,15200,Manual,23698,Petrol,150,45.6,1.5
12729,2018,12499,Automatic,37127,Petrol,145,54.3,1
1270,2019,19050,Manual,4637,Petrol,145,60.1,1
12515,2017,13500,Manual,25799,Diesel,150,64.2,1.5
6539,2016,8491,Manual,19389,Petrol,125,54.3,1.2
6613,2015,9098,Manual,20430,Petrol,20,62.8,1
6434,2019,18000,Manual,15269,Diesel,145,38.2,2
1958,2017,9498,Manual,50875,Diesel,0,74.3,1.5
14686,2016,10210,Manual,21018,Diesel,0,74.3,1.5
515,2018,9490,Manual,3012,Petrol,145,55.4,1.1
5875,2019,19110,Manual,10018,Petrol,145,50.4,1.5
14206,2016,9999,Manual,36511,Diesel,30,64.2,1.5
9621,2017,14800,Manual,22992,Diesel,145,60.1,2
17208,2018,30500,Manual,5000,Petrol,145,20.9,5
2095,2018,13000,Manual,13202,Petrol,145,47.1,1
1229,2017,8200,Manual,7616,Petrol,145,57.7,1.2
13389,2018,12000,Semi-Auto,8970,Petrol,145,54.3,1
11810,2015,10150,Manual,12317,Petrol,0,65.7,1
6132,2019,17499,Manual,6351,Diesel,145,45.6,1.5
13787,2017,10750,Manual,14100,Petrol,145,60.1,1
10430,2017,10060,Manual,16282,Petrol,0,65.7,1
9095,2019,19499,Manual,9000,Diesel,145,74.3,1.5
12387,2019,17000,Automatic,3790,Diesel,145,64.2,2
12155,2017,11170,Semi-Auto,16762,Petrol,165,44.8,1.5
14377,2015,12942,Manual,30768,Petrol,200,41.5,2
346,2018,11489,Manual,19665,Petrol,145,60.1,1
3189,2019,12490,Manual,960,Petrol,145,48.7,1.1
10058,2019,14495,Manual,11363,Petrol,145,56.5,1
14787,2019,14299,Manual,4216,Petrol,150,58.9,1
2609,2016,7220,Manual,50211,Diesel,0,88.3,1.5
12049,2015,8200,Manual,24352,Petrol,125,52.3,1
16734,2014,7295,Manual,53000,Petrol,20,60.1,1
11546,2017,16699,Manual,14448,Diesel,145,60.1,2
13639,2019,13000,Manual,15820,Petrol,145,60.1,1
12925,2018,11450,Manual,10610,Petrol,145,56.5,1
15153,2016,8900,Manual,35500,Petrol,20,62.8,1
15187,2017,11800,Manual,16612,Diesel,0,74.3,1.5
3727,2017,10999,Manual,7873,Petrol,145,65.7,1
12073,2017,15700,Manual,19877,Petrol,145,41.5,2
1368,2017,16900,Manual,34314,Diesel,145,56.5,2
10085,2016,10495,Semi-Auto,24335,Diesel,30,58.9,1.5
6102,2019,11285,Manual,19788,Diesel,150,55.4,1.5
17203,2013,7785,Automatic,7000,Petrol,145,47.9,1.6
8232,2015,6990,Manual,26680,Petrol,125,54.3,1.2
3088,2018,17890,Semi-Auto,39821,Diesel,145,54.3,2
9214,2018,12500,Manual,12900,Petrol,145,61.4,1
3668,2017,11491,Manual,5178,Petrol,20,61.4,1
12919,2019,14999,Manual,4197,Petrol,145,60.1,1
12340,2017,10000,Manual,35651,Petrol,150,65.7,1
13809,2017,7995,Manual,7710,Petrol,150,57.7,1.2
10220,2017,17595,Semi-Auto,18066,Diesel,145,54.3,2
4331,2014,6701,Manual,50000,Diesel,0,76.4,1.6
10741,2018,18995,Automatic,7000,Diesel,145,74.3,1.5
17167,2016,8750,Automatic,36541,Diesel,30,58.9,1.5
7894,2018,15500,Semi-Auto,1178,Petrol,145,48.7,1
9952,2019,10975,Manual,4500,Petrol,145,47.9,1.2
4552,2018,14450,Manual,14671,Diesel,145,64.2,1.5
3412,2018,8220,Manual,13709,Petrol,145,54.3,1.2
2645,2017,10490,Semi-Auto,47018,Petrol,145,51.4,1
17890,2018,17495,Manual,30732,Diesel,145,32.5,2
7924,2018,11450,Manual,12968,Petrol,145,56.5,1
10353,2019,16230,Automatic,16424,Diesel,145,67.3,1.5
5078,2015,4998,Manual,15296,Petrol,30,57.7,1.2
3842,2018,9690,Manual,21175,Petrol,145,65.7,1
11140,2018,9799,Manual,30701,Petrol,145,65.7,1
7210,2017,9998,Manual,33278,Petrol,145,52.3,1
6969,2017,8792,Manual,19502,Petrol,150,65.7,1
12833,2014,9800,Manual,34670,Petrol,150,47.9,1.6
6440,2017,11000,Manual,19239,Diesel,0,74.3,1.5
10547,2017,10490,Automatic,14254,Petrol,0,57.7,1
8277,2019,18999,Manual,8000,Petrol,145,49.6,1
7127,2018,12420,Manual,18602,Petrol,145,54.3,1
2093,2019,21000,Manual,16461,Diesel,145,56.5,2
54,2016,6395,Manual,31562,Petrol,125,54.3,1.2
1487,2015,7960,Manual,20188,Diesel,0,74.3,1.5
389,2017,8500,Manual,15060,Petrol,125,54.3,1.2
14934,2013,7500,Manual,29845,Petrol,0,65.7,1
11998,2019,16800,Semi-Auto,7744,Petrol,145,48.7,1
5869,2015,10498,Manual,52952,Diesel,125,60.1,2
9573,2018,15000,Manual,12234,Diesel,145,74.3,1.5
2194,2016,7995,Automatic,25109,Petrol,160,44.1,1.6
15967,2016,7299,Manual,88993,Diesel,0,74.3,1.5
5110,2019,18550,Automatic,5016,Diesel,145,64.2,2
5662,2016,15890,Automatic,10644,Diesel,145,52.3,2
7691,2019,18500,Manual,390,Diesel,145,61.4,1.5
7160,2016,8795,Manual,49286,Petrol,20,60.1,1
891,2018,8150,Manual,9763,Petrol,145,57.7,1.2
4677,2018,18950,Manual,7777,Petrol,145,41.5,2
5407,2016,14620,Manual,22231,Diesel,125,56.5,2
16714,2007,5995,Manual,67000,Petrol,330,26.3,2.5
14076,2015,7990,Manual,67000,Diesel,0,78.5,1.5
3673,2017,11516,Manual,36311,Diesel,30,64.2,1.5
15731,2018,16489,Manual,40658,Diesel,145,60.1,2
397,2016,13499,Manual,38687,Diesel,145,54.3,2
3597,2019,17470,Manual,1120,Petrol,145,60.1,1
527,2018,9950,Manual,19223,Petrol,145,61.4,1
9481,2019,21200,Manual,10,Petrol,150,50.4,1
4389,2019,17530,Semi-Auto,15,Petrol,145,48.7,1
13016,2019,17900,Automatic,2065,Petrol,145,51.4,1
5473,2015,8995,Manual,28115,Petrol,30,55.4,1
14131,2015,4990,Manual,45000,Petrol,125,54.3,1.2
12297,2017,8490,Manual,30300,Petrol,160,44.8,1.5
10689,2017,12990,Manual,47235,Diesel,150,60.1,2
560,2017,9489,Manual,29500,Petrol,145,52.3,1
3807,2017,7997,Manual,20158,Petrol,145,54.3,1.2
10882,2018,14999,Manual,35553,Diesel,145,60.1,2
12451,2019,13000,Manual,11276,Petrol,145,58.9,1
3664,2019,16191,Manual,7942,Petrol,145,55.4,1
12085,2016,8990,Manual,18200,Petrol,0,65.7,1
8400,2015,13549,Manual,42322,Diesel,20,67.3,2
2223,2019,15790,Manual,8422,Petrol,150,60.1,1
12682,2019,15499,Manual,8971,Petrol,145,55.4,1
16270,2014,6000,Manual,33190,Diesel,20,68.9,1.5
10784,2018,14995,Manual,2000,Petrol,145,54.3,1
3768,2017,7850,Manual,11149,Petrol,145,57.7,1.2
5232,2020,20991,Automatic,3767,Diesel,145,74.3,1.5
14879,2017,13299,Manual,31976,Diesel,30,61.4,2
3130,2017,10200,Manual,23278,Petrol,150,65.7,1
7024,2017,18500,Manual,31325,Diesel,160,48.7,2
14308,2017,10499,Manual,23077,Petrol,145,60.1,1
5362,2018,18600,Manual,14005,Petrol,145,41.5,2
15983,2014,7495,Manual,29352,Diesel,20,67.3,1.6
1137,2015,7720,Manual,55417,Diesel,30,61.4,1.5
14123,2018,8490,Manual,12000,Petrol,145,64.2,1.1
10592,2017,7489,Manual,12082,Petrol,145,57.7,1.2
13190,2019,21500,Automatic,2579,Petrol,145,28.8,1.5
16973,2007,2795,Manual,63000,Petrol,145,47.1,1.2
12616,2017,14500,Manual,20937,Diesel,150,60.1,2
3479,2014,6275,Manual,54724,Diesel,30,62.8,1.6
9308,2017,7595,Manual,9714,Petrol,30,57.7,1.2
6955,2017,8495,Manual,27983,Petrol,125,54.3,1.2
3663,2016,6991,Manual,29775,Petrol,125,54.3,1.2
3225,2019,16750,Manual,15097,Diesel,145,56.5,1.5
2360,2015,7995,Manual,14631,Petrol,30,54.3,1.2
2683,2016,10000,Manual,40200,Petrol,125,52.3,1
13193,2017,16250,Manual,19643,Diesel,125,60.1,2
12535,2017,8250,Manual,35790,Petrol,0,65.7,1
15520,2016,10800,Manual,19030,Petrol,20,62.8,1
8193,2016,8495,Semi-Auto,36325,Petrol,125,51.4,1
1764,2017,10398,Manual,16914,Petrol,0,65.7,1
2954,2017,18350,Automatic,6985,Petrol,235,38.2,1.5
8202,2017,10498,Manual,32873,Diesel,145,74.3,1.5
2499,2014,7698,Manual,22384,Petrol,0,65.7,1
11561,2017,11499,Manual,12485,Petrol,0,65.7,1
11830,2018,14199,Manual,21853,Diesel,145,74.3,1.5
16827,2011,6295,Manual,30000,Petrol,145,47.9,1.6
8555,2019,17690,Manual,11742,Petrol,145,52.3,1
12371,2018,7623,Manual,10006,Petrol,145,57.7,1.2
6202,2017,10499,Manual,15712,Diesel,145,74.3,1.5
16107,2019,10995,Manual,400,Petrol,145,43.5,1.2
17305,2019,39995,Automatic,800,Petrol,145,22.1,5
16307,2017,9000,Manual,87390,Diesel,30,65.7,2
152,2016,7995,Manual,20700,Petrol,125,54.3,1.2
5576,2019,9291,Manual,2209,Petrol,150,48.7,1.2
17487,2015,4690,Manual,63000,Petrol,30,54.3,1.2
3368,2014,6940,Manual,27224,Diesel,0,76.4,1.5
2180,2014,6495,Manual,52851,Diesel,20,70.6,1.6
17715,2017,10499,Manual,22740,Petrol,125,52.3,1
11259,2017,10399,Manual,11270,Petrol,145,65.7,1
17781,2012,5500,Manual,64068,Petrol,150,48.7,1.4
4091,2017,19998,Semi-Auto,18471,Diesel,145,54.3,2
7817,2019,15995,Semi-Auto,9950,Petrol,145,48.7,1
14776,2019,15999,Automatic,999,Petrol,145,45.6,1
16617,2015,7499,Manual,26311,Diesel,0,78.5,1.5
5612,2017,8291,Manual,29491,Petrol,150,65.7,1
8929,2018,9600,Manual,11038,Petrol,150,64.2,1.1
5567,2017,7791,Manual,15065,Petrol,145,54.3,1.2
5461,2013,5991,Manual,38792,Petrol,160,42.8,1.6
5584,2018,13220,Manual,13892,Diesel,145,74.3,1.5
12480,2018,14000,Manual,13912,Petrol,150,54.3,1
6864,2017,16998,Manual,17757,Diesel,145,64.2,1.5
1606,2018,10200,Manual,19450,Petrol,145,60.1,1
887,2015,9000,Manual,52180,Diesel,125,60.1,2
14748,2013,6999,Automatic,62000,Petrol,0,57.7,1
7735,2015,9500,Manual,19613,Diesel,0,78.5,1.5
7078,2014,7040,Manual,41731,Petrol,0,65.7,1
15094,2019,12999,Manual,8732,Petrol,145,58.9,1
7495,2017,9502,Manual,25099,Petrol,0,65.7,1
9418,2018,11995,Manual,11981,Petrol,150,65.7,1
12364,2019,13000,Manual,879,Petrol,145,58.9,1
15828,2019,15899,Manual,6562,Petrol,145,34.4,1.5
5266,2016,8250,Manual,18270,Petrol,125,54.3,1.2
4189,2017,10698,Manual,41068,Diesel,0,74.3,1.5
7787,2019,11930,Manual,5469,Petrol,145,58.9,1
8593,2016,10333,Manual,15800,Petrol,20,62.8,1
678,2017,9298,Manual,6213,Petrol,125,54.3,1.2
6533,2017,11999,Manual,10395,Petrol,145,65.7,1
11833,2018,12000,Manual,9749,Petrol,145,65.7,1
4724,2016,6697,Manual,40126,Petrol,125,54.3,1.2
7667,2018,12500,Manual,23868,Petrol,145,58.9,1
5813,2018,11490,Manual,27291,Diesel,145,74.3,1.5
13552,2018,11995,Manual,15900,Petrol,145,57.7,1
12942,2019,19500,Manual,6953,Petrol,150,40.3,1.5
9423,2017,8295,Manual,35119,Petrol,0,65.7,1
12972,2014,7495,Manual,23967,Petrol,30,54.3,1.2
1763,2017,18598,Manual,25490,Diesel,145,54.3,2
14760,2017,10999,Automatic,45709,Petrol,150,46.3,1.5
12102,2017,15299,Semi-Auto,19978,Diesel,145,58.9,1.5
11484,2019,18399,Manual,7758,Diesel,145,47.9,2
7073,2018,19000,Semi-Auto,32340,Diesel,150,52.3,2
6429,2019,20450,Manual,2000,Diesel,145,38.2,2
12916,2018,8899,Manual,9987,Petrol,145,48.7,1.2
12647,2017,10299,Manual,19789,Petrol,150,62.8,1
11953,2018,13300,Semi-Auto,9305,Petrol,150,51.4,1
11188,2017,17399,Manual,23833,Diesel,145,54.3,2
9568,2016,14500,Automatic,3255,Petrol,145,46.3,1.5
9230,2018,10390,Manual,34240,Petrol,145,56.5,1
9447,2017,10000,Manual,16097,Petrol,145,65.7,1
17030,2019,14175,Manual,13,Petrol,145,56.5,1
2962,2015,6995,Manual,41385,Petrol,125,54.3,1.2
1744,2017,9998,Manual,5829,Petrol,125,52.3,1
2028,2017,12498,Manual,37889,Diesel,30,64.2,1.5
15449,2017,19000,Manual,8938,Petrol,145,41.5,2
9559,2019,17515,Semi-Auto,3711,Petrol,145,48.7,1
4956,2018,12995,Manual,18300,Petrol,145,57.7,1
14928,2017,16499,Manual,32253,Diesel,145,67.3,2
3708,2017,9399,Manual,23534,Petrol,145,65.7,1
6925,2018,13295,Manual,11097,Petrol,145,62.8,1
10940,2018,11200,Manual,14338,Petrol,150,62.8,1
15819,2019,17299,Automatic,24277,Diesel,145,37.2,2
14052,2014,4490,Manual,51000,Petrol,30,54.3,1.2
5372,2016,10590,Semi-Auto,9975,Petrol,165,44.8,1.5
12524,2019,17990,Manual,2972,Petrol,145,58.9,1
10533,2018,9679,Manual,14044,Petrol,150,64.2,1.1
14966,2018,10800,Manual,29783,Petrol,145,56.5,1
11219,2019,11299,Manual,2516,Petrol,145,43.5,1.2
8726,2018,8990,Manual,15141,Petrol,150,64.2,1.1
15460,2018,10000,Manual,14005,Petrol,145,55.4,1.1
7249,2017,12245,Manual,18534,Petrol,145,47.9,1.6
13325,2019,23000,Automatic,16700,Petrol,145,40.9,1.5
3606,2019,14440,Manual,9525,Petrol,145,58.9,1
1433,2018,12991,Manual,21528,Petrol,145,61.4,1
10924,2016,9399,Manual,17693,Diesel,20,68.9,1.5
329,2016,9698,Manual,36860,Diesel,20,68.9,1.5
7083,2015,6450,Manual,62190,Petrol,0,65.7,1
2982,2017,8180,Manual,10299,Petrol,145,64.2,1.1
1615,2016,13991,Manual,38554,Diesel,145,54.3,2
9698,2013,6361,Semi-Auto,53141,Petrol,145,47.9,1.6
15724,2019,15500,Manual,10000,Petrol,145,60.1,1
5780,2015,8010,Manual,35614,Petrol,0,65.7,1
10637,2016,17495,Manual,37000,Diesel,125,56.5,2
5807,2017,10190,Manual,36333,Diesel,145,64.2,1.5
5400,2017,9295,Manual,22414,Petrol,160,44.8,1.5
8833,2018,12750,Manual,7026,Petrol,145,65.7,1
3716,2018,13750,Manual,13000,Petrol,145,58.9,1
9931,2019,13995,Manual,24022,Diesel,145,58.9,1.5
3529,2016,16798,Manual,19406,Diesel,125,56.5,2
5588,2016,8820,Manual,31927,Petrol,0,65.7,1
14694,2012,3899,Manual,126000,Diesel,125,56.5,2
13904,2016,9695,Manual,10218,Diesel,30,64.2,1.5
7539,2019,22470,Automatic,6511,Diesel,145,42.2,2
17221,2016,9295,Manual,10092,Petrol,0,65.7,1
8984,2017,6977,Manual,33440,Petrol,145,57.7,1.2
12577,2015,7791,Manual,32388,Petrol,20,61.4,1
5660,2014,6700,Manual,52855,Diesel,20,67.3,1.6
15587,2018,12500,Manual,16936,Petrol,145,62.8,1
8783,2016,18700,Manual,21476,Diesel,205,47.9,2
803,2017,12698,Manual,13588,Diesel,0,74.3,1.5
1484,2015,12151,Manual,28039,Diesel,30,62.8,2
114,2016,10995,Manual,30923,Diesel,0,74.3,1.5
13282,2018,10250,Manual,14697,Petrol,150,65.7,1
9210,2013,6495,Manual,58110,Diesel,20,67.3,1.6
3086,2016,8290,Manual,18500,Petrol,125,54.3,1.2
3912,2017,9997,Manual,29942,Petrol,145,61.4,1
5007,2018,12495,Manual,34000,Petrol,145,54.3,1
6555,2016,10030,Automatic,17334,Diesel,30,58.9,1.5
2047,2015,7998,Manual,61904,Diesel,0,74.3,1.5
11658,2019,17299,Manual,5013,Petrol,145,60.1,1
2175,2019,18395,Manual,10568,Diesel,145,54.3,1.5
5102,2015,6998,Manual,30518,Petrol,125,54.3,1.2
933,2017,11700,Manual,18524,Petrol,20,60.1,1
8715,2018,11695,Manual,12874,Petrol,150,65.7,1
3579,2018,15490,Manual,10708,Petrol,145,54.3,1
8268,2017,9499,Manual,12914,Petrol,125,54.3,1.2
3602,2018,11491,Manual,7652,Petrol,150,65.7,1
4226,2017,10750,Manual,17815,Petrol,150,52.3,1
1217,2019,19698,Manual,95,Diesel,145,54.3,1.5
13771,2016,15393,Automatic,10969,Petrol,235,38.2,2
2890,2020,20990,Manual,2459,Petrol,150,50.4,1
10878,2016,10199,Manual,18606,Petrol,20,62.8,1
4246,2015,10795,Manual,21529,Petrol,145,47.9,1.6
17322,2017,9295,Manual,1000,Petrol,145,55.4,1
8038,2018,17700,Manual,16616,Diesel,145,60.1,2
21,2018,9499,Manual,20400,Petrol,145,55.4,1.1
9901,2018,7695,Manual,30495,Petrol,145,57.7,1.2
784,2016,6998,Manual,49010,Diesel,0,78.5,1.5
9116,2018,11495,Manual,19583,Petrol,145,65.7,1
17818,2017,17000,Manual,19900,Petrol,145,45.6,1.5
7694,2017,10200,Manual,7417,Diesel,145,64.2,1.5
10798,2017,10499,Manual,17221,Petrol,20,62.8,1
10224,2018,16222,Manual,17036,Diesel,145,60.1,2
12537,2014,7600,Manual,21884,Petrol,30,57.7,1
3493,2019,19800,Manual,11000,Diesel,145,47.9,2
12922,2018,11170,Manual,10442,Petrol,145,58.9,1
9292,2017,9390,Manual,25710,Petrol,20,62.8,1
8546,2016,8695,Manual,32346,Petrol,0,65.7,1
7150,2019,11495,Manual,9973,Petrol,145,58.9,1
13920,2018,17995,Semi-Auto,23836,Diesel,145,52.3,2
17920,2018,13499,Manual,13503,Petrol,145,58.9,1
11367,2014,8999,Manual,31335,Diesel,20,67.3,1.6
4537,2018,9999,Manual,4997,Petrol,145,64.2,1.1
9546,2019,23500,Automatic,2444,Petrol,145,29.1,1.5
6981,2017,13600,Manual,19996,Petrol,150,55.4,1
6906,2017,13698,Manual,35832,Diesel,125,60.1,2
12873,2013,7000,Manual,23387,Petrol,0,65.7,1
17233,2012,7795,Manual,22789,Petrol,30,55.4,1
17235,2018,12295,Manual,16136,Petrol,145,60.1,1
8667,2016,9990,Semi-Auto,32618,Diesel,0,74.3,1.5
8622,2018,6990,Manual,15472,Petrol,145,57.7,1.2
1064,2018,11810,Manual,17330,Petrol,145,51.4,1.5
3756,2018,10999,Manual,5918,Petrol,145,55.4,1.1
8222,2015,9799,Semi-Auto,65000,Diesel,150,52.3,2
1223,2014,8367,Manual,36300,Petrol,30,55.4,1
6339,2017,10395,Manual,17854,Petrol,150,65.7,1
7636,2017,15591,Manual,30312,Diesel,20,67.3,2
38,2019,21378,Manual,3259,Diesel,145,39.2,2
17032,2015,6995,Automatic,80208,Petrol,160,44.8,1.6
4911,2019,20900,Automatic,11251,Petrol,145,29.1,1.5
16544,2013,5699,Manual,37168,Petrol,30,54.3,1.2
15372,2018,16289,Manual,8724,Diesel,145,80.7,1.5
7879,2016,14747,Manual,22996,Diesel,20,67.3,2
10233,2018,12995,Manual,14806,Petrol,150,62.8,1
8324,2017,18499,Manual,13063,Petrol,145,41.5,2
2697,2019,14998,Manual,8147,Petrol,145,60.1,1
7023,2019,15000,Manual,2436,Diesel,145,68.9,1.5
11804,2018,11100,Manual,17742,Petrol,145,62.8,1
1876,2017,10698,Manual,32701,Diesel,145,74.3,1.5
11539,2019,19990,Manual,3068,Petrol,145,50.4,1
8578,2018,8800,Manual,21022,Petrol,150,64.2,1.1
1665,2016,8600,Manual,28165,Petrol,125,54.3,1.2
8709,2018,10500,Manual,6042,Petrol,145,64.2,1.1
13836,2012,4963,Manual,45000,Diesel,20,68.9,1.4
11360,2017,8495,Manual,15000,Petrol,150,54.3,1.2
16689,2018,10999,Manual,24453,Petrol,145,56.5,1
10285,2013,6370,Manual,50223,Petrol,30,56.5,1
12218,2018,18000,Manual,5000,Petrol,145,58.9,1
8279,2018,10999,Manual,21236,Petrol,145,62.8,1
2444,2016,10498,Semi-Auto,25356,Diesel,20,64.2,1.5
3930,2013,6890,Manual,20881,Diesel,20,70.6,1.6
1111,2018,10870,Manual,19733,Petrol,145,65.7,1
9623,2019,19500,Manual,27,Diesel,145,65.7,2
6210,2018,7940,Manual,11566,Petrol,145,57.7,1.2
14798,2019,17499,Manual,8140,Petrol,150,60.1,1
5173,2018,9991,Manual,16636,Petrol,145,65.7,1
11644,2017,12500,Automatic,45346,Diesel,145,58.9,2
6523,2017,7775,Manual,7762,Petrol,145,57.7,1.2
5306,2015,11295,Manual,9623,Diesel,125,60.1,2
4376,2019,17200,Manual,6984,Diesel,145,61.4,1.5
741,2013,4998,Manual,54323,Petrol,30,54.3,1.2
2992,2018,13500,Manual,10111,Petrol,145,57.7,1
12468,2019,13000,Manual,5728,Petrol,145,56.5,1
205,2016,7998,Manual,16070,Petrol,125,54.3,1.2
3586,2019,18490,Manual,18694,Diesel,145,39.2,2
14852,2016,8500,Manual,37695,Diesel,0,74.3,1.5
11271,2017,13899,Manual,33606,Diesel,125,60.1,2
9923,2017,14795,Manual,20409,Petrol,145,45.6,1.5
6054,2017,17980,Manual,16270,Diesel,145,56.5,2
11807,2018,18795,Manual,14076,Petrol,145,41.5,2
1010,2017,11498,Manual,15378,Petrol,20,61.4,1
14360,2014,6499,Manual,30876,Diesel,0,76.4,1.5
16321,2014,5895,Manual,59306,Petrol,30,56.5,1
7337,2013,5999,Manual,46332,Petrol,0,65.7,1
1820,2017,8000,Manual,25219,Petrol,145,54.3,1.2
9130,2014,6990,Manual,35000,Petrol,0,65.7,1
6897,2017,8100,Manual,9777,Petrol,145,57.7,1.2
15554,2014,7400,Manual,38676,Petrol,30,55.4,1
3454,2017,8850,Manual,13125,Petrol,125,54.3,1.2
8570,2017,9230,Manual,4218,Petrol,125,54.3,1.2
3600,2015,9614,Manual,60904,Diesel,205,47.9,2
9208,2016,9994,Manual,1599,Petrol,20,62.8,1
7609,2013,5281,Manual,63785,Diesel,20,70.6,1.6
16180,2019,14795,Manual,2159,Petrol,145,58.9,1
8699,2018,11500,Manual,2729,Petrol,145,58.9,1
13184,2019,26200,Manual,10223,Diesel,145,50.4,2
14766,2019,17999,Manual,17984,Diesel,150,62.8,2
11556,2017,9399,Manual,18401,Petrol,145,65.7,1
849,2017,11998,Semi-Auto,18978,Diesel,0,74.3,1.5
194,2019,14698,Manual,7872,Petrol,145,58.9,1
