"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"9729",2017,9850,"Manual",16730,"Petrol",0,65.7,1,26.452650595691
"3816",2018,13997,"Manual",22084,"Petrol",145,54.3,1,28.7424798225623
"3274",2019,14467,"Manual",4126,"Petrol",145,58.9,1,28.966101309773
"9628",2016,8500,"Manual",25100,"Petrol",0,65.7,1,25.5389280996054
"11440",2018,13699,"Manual",13000,"Petrol",145,55.4,1,28.5975630385544
"1128",2018,14300,"Manual",9713,"Petrol",145,58.9,1,28.8873190703395
"16289",2015,9950,"Manual",30268,"Diesel",125,60.1,2,26.516256071099
"5607",2016,7230,"Manual",52478,"Diesel",0,88.3,1.5,24.5663466038287
"14036",2016,7990,"Manual",28000,"Diesel",0,74.3,1.5,25.1633351881139
"4338",2014,4801,"Manual",90000,"Petrol",30,54.3,1.2,22.2418342088291
"578",2019,15998,"Manual",10386,"Petrol",145,49.6,1,29.6563756833786
"2811",2017,8999,"Manual",12850,"Petrol",145,65.7,1,25.8893560524704
"11990",2015,7441,"Manual",33600,"Petrol",160,44.8,1.5,24.7369392239721
"5802",2017,18000,"Manual",32493,"Diesel",145,56.5,2,30.4833410381278
"16704",2014,7500,"Manual",38000,"Diesel",30,61.4,1.6,24.7839474541773
"6829",2014,5777,"Manual",77000,"Diesel",20,67.3,1.6,23.2690020833582
"15441",2019,18000,"Manual",10279,"Diesel",145,38.2,2,30.4833410381278
"15245",2017,12289,"Manual",14112,"Petrol",145,60.1,1,27.8755716483929
